Unit Serial No : 440-JM0P3695-EU
Integration Time : 3000 ms
Time Average: 1
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 02/21/2018   17:09:47

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
511.0000      	19569.4716    	1807.00000    
512.0000      	19531.2500    	1795.00000    
513.0000      	19493.1774    	1790.00000    
514.0000      	19455.2529    	1835.00000    
515.0000      	19417.4757    	1786.00000    
516.0000      	19379.8450    	1802.00000    
517.0000      	19342.3598    	1819.00000    
518.0000      	19305.0193    	1851.00000    
519.0000      	19267.8227    	1822.00000    
520.0000      	19230.7692    	1861.00000    
521.0000      	19193.8580    	1828.00000    
522.0000      	19157.0881    	1806.00000    
523.0000      	19120.4589    	1855.00000    
524.0000      	19083.9695    	1798.00000    
525.0000      	19047.6190    	1860.00000    
526.0000      	19011.4068    	1828.00000    
527.0000      	18975.3321    	1902.00000    
528.0000      	18939.3939    	2051.00000    
529.0000      	18903.5917    	2331.00000    
530.0000      	18867.9245    	3694.00000    
531.0000      	18832.3917    	9762.00000    
532.0000      	18796.9925    	14122.00000   
533.0000      	18761.7261    	11193.00000   
534.0000      	18726.5918    	3355.00000    
535.0000      	18691.5888    	2296.00000    
536.0000      	18656.7164    	2097.00000    
537.0000      	18621.9739    	1985.00000    
538.0000      	18587.3606    	1960.00000    
539.0000      	18552.8757    	1903.00000    
540.0000      	18518.5185    	1838.00000    
541.0000      	18484.2884    	1846.00000    
542.0000      	18450.1845    	1846.00000    
543.0000      	18416.2063    	1784.00000    
544.0000      	18382.3529    	1823.00000    
545.0000      	18348.6239    	1832.00000    
546.0000      	18315.0183    	1814.00000    
547.0000      	18281.5356    	1787.00000    
548.0000      	18248.1752    	1877.00000    
549.0000      	18214.9362    	1785.00000    
550.0000      	18181.8182    	1834.00000    
551.0000      	18148.8203    	1834.00000    
552.0000      	18115.9420    	1858.00000    
553.0000      	18083.1826    	1859.00000    
554.0000      	18050.5415    	1908.00000    
555.0000      	18018.0180    	1926.00000    
556.0000      	17985.6115    	1932.00000    
557.0000      	17953.3214    	1832.00000    
558.0000      	17921.1470    	1854.00000    
559.0000      	17889.0877    	1874.00000    
